Country of Origin,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Moisture Percentage,Category One Defects,Quakers,Color,Category Two Defects,is_specialty
3,8.58,8.5,8.42,8.58,8.25,8.42,10.0,10.0,10.0,11.8,0,0.0,8,3,1
28,8.5,8.5,7.92,8.0,7.92,8.25,10.0,10.0,10.0,10.5,0,0.0,4,0,1
16,8.33,8.42,8.08,8.17,7.92,8.17,10.0,10.0,10.0,10.4,0,0.0,15,2,1
4,8.08,8.17,8.17,8.25,8.17,8.08,10.0,10.0,10.0,11.8,0,0.0,8,0,1
3,8.33,8.33,8.08,8.25,7.92,7.92,10.0,10.0,10.0,11.6,0,2.0,14,2,1
9,8.33,8.33,8.25,7.83,7.83,8.17,10.0,10.0,10.0,10.7,0,0.0,8,2,1
28,8.33,8.17,8.08,8.0,7.83,8.25,10.0,10.0,10.0,9.1,0,0.0,8,0,1
28,8.25,8.25,8.17,8.0,7.92,8.08,10.0,10.0,10.0,10.0,0,0.0,12,1,1
28,8.08,8.08,8.25,8.08,7.92,8.0,10.0,10.0,10.0,10.8,0,0.0,9,0,1
29,8.08,8.17,8.08,8.17,8.0,8.0,10.0,10.0,10.0,11.0,0,0.0,9,0,1
8,8.08,8.25,8.0,8.08,7.92,7.92,10.0,10.0,10.0,11.8,0,1.0,9,1,1
9,8.08,8.0,8.0,7.75,8.25,8.17,10.0,10.0,10.0,11.5,0,0.0,7,1,1
28,8.08,8.0,8.08,8.08,8.0,8.0,10.0,10.0,10.0,11.9,0,0.0,8,0,1
8,7.67,8.17,8.0,8.33,8.0,8.0,10.0,10.0,10.0,11.6,0,3.0,13,2,1
3,8.08,8.0,8.08,7.92,8.08,8.0,10.0,10.0,10.0,10.6,0,0.0,8,0,1
28,8.17,8.08,8.0,7.92,8.0,7.92,10.0,10.0,10.0,10.2,0,0.0,8,0,1
8,8.17,8.08,7.92,8.17,7.75,7.92,10.0,10.0,10.0,11.3,0,2.0,8,2,1
28,8.0,8.17,8.0,7.92,7.92,7.92,10.0,10.0,10.0,10.3,0,0.0,14,0,1
28,8.08,8.17,7.75,7.92,7.83,8.0,10.0,10.0,10.0,11.0,0,0.0,7,1,1
29,8.17,8.0,7.92,7.92,8.17,7.75,10.0,10.0,10.0,10.0,0,0.0,9,0,1
9,8.0,7.92,8.08,7.92,7.75,8.0,10.0,10.0,10.0,11.6,0,0.0,15,0,1
28,8.08,8.0,7.92,7.92,8.0,7.83,10.0,10.0,10.0,10.4,0,0.0,8,0,1
30,7.67,8.0,7.83,8.0,8.08,8.0,10.0,10.0,10.0,9.8,0,0.0,6,5,1
3,8.08,8.0,7.83,8.17,7.75,7.83,10.0,10.0,10.0,11.3,0,0.0,7,2,1
28,7.83,8.0,7.92,8.0,8.0,7.92,10.0,10.0,10.0,10.6,0,0.0,5,0,1
0,7.83,8.08,7.83,7.92,8.0,7.83,10.0,10.0,10.0,11.3,2,0.0,8,3,1
28,7.92,7.92,8.0,7.92,7.83,7.92,10.0,10.0,10.0,9.1,0,0.0,8,2,1
28,8.17,8.08,7.92,8.0,7.58,7.83,10.0,10.0,10.0,10.6,0,0.0,8,0,1
28,8.0,8.0,8.0,7.92,7.75,7.92,10.0,10.0,10.0,10.2,0,0.0,4,0,1
33,8.0,7.92,8.0,7.83,7.67,8.0,10.0,10.0,10.0,9.3,0,0.0,8,0,1
28,8.0,8.0,7.83,7.83,7.75,7.92,10.0,10.0,10.0,11.4,0,0.0,5,0,1
28,7.92,8.0,7.83,7.92,7.83,7.83,10.0,10.0,10.0,10.8,0,0.0,8,0,1
28,8.08,8.17,7.67,7.83,7.67,7.92,10.0,10.0,10.0,11.3,0,0.0,8,0,1
8,7.67,7.83,7.83,8.0,8.0,8.0,10.0,10.0,10.0,9.9,0,2.0,8,3,1
8,8.0,8.08,8.0,8.0,7.67,7.75,10.0,10.0,10.0,12.3,0,3.0,12,4,1
8,7.92,7.75,7.83,8.17,8.0,7.75,10.0,10.0,10.0,9.4,0,1.0,9,1,1
28,8.0,7.92,7.83,7.92,7.83,7.83,10.0,10.0,10.0,9.5,0,0.0,5,0,1
28,8.25,8.08,7.83,7.75,7.67,7.75,10.0,10.0,10.0,11.3,0,0.0,8,0,1
15,8.17,7.75,7.83,7.58,7.92,8.0,10.0,10.0,10.0,9.2,0,0.0,9,1,1
28,7.75,7.92,7.75,8.0,7.83,7.92,10.0,10.0,10.0,10.3,0,0.0,5,0,1
28,8.0,7.92,7.83,7.92,7.75,7.75,10.0,10.0,10.0,10.0,0,0.0,7,0,1
28,8.0,8.08,7.67,7.75,7.92,7.83,10.0,10.0,10.0,10.5,0,0.0,9,0,1
28,8.0,7.92,7.67,8.0,7.75,7.83,10.0,10.0,10.0,10.0,0,0.0,10,5,1
31,8.0,7.92,7.75,7.75,7.75,7.92,10.0,10.0,10.0,11.0,0,0.0,8,1,1
28,7.92,8.0,7.92,8.0,7.58,7.75,10.0,10.0,10.0,10.9,0,0.0,8,0,1
28,8.17,8.08,7.83,7.67,7.67,7.75,10.0,10.0,10.0,10.1,0,0.0,12,0,1
9,7.67,8.08,7.67,8.0,7.92,7.83,10.0,10.0,10.0,9.9,0,1.0,8,1,1
9,7.67,8.0,7.75,7.92,8.0,7.83,10.0,10.0,10.0,11.3,0,0.0,8,4,1
9,7.83,7.92,7.75,8.0,7.75,7.75,10.0,10.0,10.0,11.7,0,3.0,8,1,1
28,7.92,7.92,7.83,7.83,7.75,7.83,10.0,10.0,10.0,9.5,0,0.0,8,2,1
28,8.0,8.0,7.75,7.75,7.67,7.75,10.0,10.0,10.0,9.7,0,0.0,7,0,1
13,7.83,7.92,7.75,7.83,7.83,7.83,10.0,10.0,10.0,11.9,0,3.0,5,2,1
25,8.0,8.0,7.83,7.83,7.58,7.83,10.0,10.0,10.0,10.7,0,0.0,9,0,1
29,7.92,7.75,7.75,7.92,7.83,7.83,10.0,10.0,10.0,11.2,0,0.0,9,0,1
28,7.83,7.83,7.67,7.67,7.83,8.0,10.0,10.0,10.0,9.5,0,0.0,9,0,1
28,7.67,7.92,7.92,7.83,7.75,7.83,10.0,10.0,10.0,10.4,0,0.0,8,0,1
0,7.83,7.92,7.75,7.92,7.67,7.83,10.0,10.0,10.0,11.2,0,1.0,8,5,1
23,7.83,7.83,7.75,7.92,7.83,7.75,10.0,10.0,10.0,10.3,0,1.0,5,5,1
28,7.92,8.08,7.67,7.92,7.67,7.75,10.0,10.0,10.0,10.0,0,0.0,4,0,1
9,7.67,8.0,7.67,7.83,7.92,7.67,10.0,10.0,10.0,10.6,0,0.0,8,1,1
9,7.83,8.0,7.67,7.83,7.75,7.75,10.0,10.0,10.0,10.9,0,3.0,14,2,1
4,7.58,7.83,7.5,7.67,7.83,7.67,10.0,10.0,10.0,10.0,0,1.0,8,2,1
28,7.83,7.83,7.75,7.75,7.75,7.75,10.0,10.0,10.0,9.6,0,0.0,9,0,1
28,8.17,7.83,7.67,7.83,7.67,7.67,10.0,10.0,10.0,11.5,0,0.0,8,0,1
22,7.92,7.75,7.67,7.67,7.83,7.75,10.0,10.0,10.0,9.9,1,0.0,8,2,1
28,8.08,7.83,7.67,7.67,7.67,7.75,10.0,10.0,10.0,11.2,0,0.0,8,2,1
28,7.83,8.0,7.67,7.75,7.67,7.75,10.0,10.0,10.0,10.3,0,0.0,8,0,1
36,8.0,7.83,7.75,7.67,7.58,7.83,10.0,10.0,10.0,11.6,0,0.0,7,0,1
4,7.75,7.83,7.67,7.83,7.75,7.75,10.0,10.0,10.0,11.7,0,1.0,8,0,1
28,7.75,7.92,7.83,7.75,7.75,7.75,10.0,10.0,10.0,11.3,0,0.0,5,0,1
11,7.83,7.92,7.75,7.75,7.75,7.75,10.0,10.0,10.0,9.8,0,0.0,8,3,1
8,7.92,7.83,7.75,7.92,7.58,7.67,10.0,10.0,10.0,10.9,0,0.0,8,9,1
28,8.08,7.92,7.75,7.83,7.5,7.58,10.0,10.0,10.0,10.2,0,0.0,8,0,1
28,7.83,8.0,7.5,7.75,7.75,7.75,10.0,10.0,10.0,10.1,0,0.0,5,1,1
9,7.67,7.83,7.75,7.75,7.83,7.75,10.0,10.0,10.0,9.2,0,1.0,8,5,1
33,7.92,7.83,7.75,7.92,7.5,7.67,10.0,10.0,10.0,10.1,3,0.0,14,7,1
8,7.83,7.75,7.58,7.92,8.0,7.5,10.0,10.0,10.0,11.0,0,5.0,12,4,1
7,7.83,7.83,7.83,7.83,7.67,7.67,10.0,10.0,10.0,10.3,0,0.0,7,4,1
3,7.75,7.75,7.75,7.75,7.83,7.67,10.0,10.0,10.0,11.6,0,0.0,8,1,1
13,7.67,7.67,7.83,7.83,7.67,7.75,10.0,10.0,10.0,11.5,0,1.0,4,1,1
9,7.58,7.92,7.67,7.75,7.83,7.75,10.0,10.0,10.0,10.0,0,0.0,8,1,1
17,7.92,7.92,7.58,7.75,7.58,7.67,10.0,10.0,10.0,12.1,0,0.0,4,0,1
11,7.75,7.75,7.58,7.83,7.75,7.75,10.0,10.0,10.0,10.2,0,0.0,8,2,1
9,7.58,7.92,7.58,7.83,7.75,7.67,10.0,10.0,10.0,11.0,0,3.0,8,2,1
28,7.83,7.92,7.83,7.58,7.58,7.67,10.0,10.0,10.0,10.8,0,0.0,9,2,1
28,7.92,7.75,7.67,7.75,7.75,8.0,9.33,10.0,10.0,10.6,0,0.0,11,0,1
9,7.67,7.83,7.67,7.83,7.75,7.67,10.0,10.0,10.0,11.0,0,1.0,8,2,1
9,7.67,7.92,7.67,7.75,7.67,7.58,10.0,10.0,10.0,11.0,0,2.0,8,2,1
11,7.75,7.75,7.75,7.67,7.75,7.67,10.0,10.0,10.0,9.4,0,0.0,8,0,1
29,7.58,7.67,7.75,7.75,7.75,7.75,10.0,10.0,10.0,9.8,0,0.0,9,3,1
8,8.0,7.75,7.5,7.67,7.67,7.67,10.0,10.0,10.0,11.3,1,1.0,8,1,1
29,7.75,7.58,7.58,7.92,7.67,7.75,10.0,10.0,10.0,11.6,0,0.0,9,2,1
3,7.67,7.83,7.58,7.92,7.67,7.67,10.0,10.0,10.0,13.3,0,2.0,8,3,1
4,7.67,7.92,7.58,7.75,7.67,7.58,10.0,10.0,10.0,9.5,0,0.0,8,2,1
9,7.83,7.83,7.58,7.67,7.67,7.58,10.0,10.0,10.0,11.9,0,0.0,9,0,1
9,7.58,7.83,7.58,7.75,7.67,7.75,10.0,10.0,10.0,10.0,0,1.0,8,2,1
30,7.75,7.67,7.58,7.75,7.75,7.67,10.0,10.0,10.0,11.6,0,0.0,15,3,1
3,7.67,7.75,7.67,7.75,7.67,7.67,10.0,10.0,10.0,11.9,0,1.0,8,1,1
9,7.58,7.83,7.67,7.67,7.67,7.67,10.0,10.0,10.0,10.8,0,0.0,8,4,1
9,7.58,7.92,7.5,7.67,7.75,7.67,10.0,10.0,10.0,10.9,0,1.0,9,4,1
8,7.83,7.67,7.5,7.92,7.5,7.67,10.0,10.0,10.0,12.0,0,0.0,8,12,1
3,7.92,7.75,7.42,7.58,7.92,7.67,10.0,10.0,10.0,12.1,2,5.0,8,5,1
33,7.67,7.92,7.58,7.58,7.58,7.75,10.0,10.0,10.0,11.8,0,3.0,8,3,1
3,7.67,7.92,7.67,7.58,7.67,7.67,10.0,10.0,10.0,10.6,0,0.0,9,1,1
20,7.67,7.67,7.58,7.67,7.83,7.58,10.0,10.0,10.0,11.7,4,0.0,8,12,1
3,7.83,7.75,7.5,7.58,7.67,7.67,10.0,10.0,10.0,12.4,1,0.0,9,9,1
28,7.67,7.67,7.75,7.75,7.5,7.67,10.0,10.0,10.0,10.0,0,0.0,5,0,1
21,7.83,7.83,7.67,7.58,7.58,7.58,10.0,10.0,10.0,10.2,0,1.0,10,1,1
28,7.58,7.75,7.67,7.83,7.5,7.67,10.0,10.0,10.0,9.2,0,0.0,9,0,1
11,7.67,7.67,7.58,7.75,7.67,7.67,10.0,10.0,10.0,11.1,0,2.0,10,1,1
28,7.58,7.67,7.5,7.75,7.75,7.67,10.0,10.0,10.0,8.4,0,0.0,8,0,1
28,7.58,7.75,7.58,7.75,7.58,7.67,10.0,10.0,10.0,9.1,0,0.0,8,0,1
9,7.58,7.83,7.58,7.67,7.58,7.58,10.0,10.0,10.0,10.9,0,2.0,8,4,1
11,7.75,7.67,7.58,7.58,7.58,7.67,10.0,10.0,10.0,11.2,0,1.0,8,5,1
3,7.75,7.75,7.5,7.58,7.83,7.5,10.0,10.0,10.0,12.2,0,0.0,5,2,1
30,7.42,7.83,7.58,7.67,7.67,7.75,10.0,10.0,10.0,13.1,0,0.0,8,0,1
8,7.42,7.42,7.42,8.0,7.92,7.67,10.0,10.0,10.0,10.4,0,1.0,9,11,1
30,7.67,7.67,7.5,7.67,7.58,7.67,10.0,10.0,10.0,11.6,0,2.0,8,0,1
31,7.75,7.75,7.5,7.5,7.58,7.58,10.0,10.0,10.0,10.1,0,0.0,8,3,1
28,7.75,7.92,7.67,7.92,7.75,7.83,8.67,10.0,10.0,10.1,0,0.0,4,0,1
31,7.75,7.67,7.58,7.5,7.67,7.5,10.0,10.0,10.0,11.1,0,0.0,8,5,1
28,7.58,7.67,7.5,7.75,7.5,7.58,10.0,10.0,10.0,9.7,0,0.0,9,0,1
9,7.5,7.75,7.58,7.75,7.67,7.58,10.0,10.0,10.0,11.4,0,0.0,8,0,1
28,7.58,7.67,7.58,7.75,7.42,7.58,10.0,10.0,10.0,9.6,0,0.0,8,1,1
3,7.67,7.67,7.42,7.75,7.5,7.75,10.0,10.0,10.0,13.5,0,0.0,9,0,1
4,7.58,7.75,7.42,7.67,7.5,7.75,10.0,10.0,10.0,0.0,0,0.0,8,3,1
28,7.75,7.83,7.58,7.58,7.58,7.5,10.0,10.0,10.0,10.7,0,0.0,4,1,1
30,7.92,7.92,7.75,7.33,7.58,7.5,10.0,10.0,10.0,12.3,0,0.0,14,16,1
29,7.92,7.67,7.42,7.5,7.67,7.58,10.0,10.0,10.0,10.4,0,0.0,9,8,1
0,7.58,7.5,7.5,7.83,7.67,7.5,10.0,10.0,10.0,11.6,0,0.0,8,4,1
28,7.75,7.75,7.58,7.67,7.42,7.5,10.0,10.0,10.0,9.6,0,0.0,8,1,1
3,7.67,7.67,7.58,7.67,7.58,7.58,10.0,10.0,10.0,10.9,0,0.0,7,2,1
11,7.67,7.75,7.67,7.58,7.5,7.58,10.0,10.0,10.0,10.5,0,0.0,5,3,1
11,7.75,7.58,7.58,7.58,7.5,7.58,10.0,10.0,10.0,11.3,0,1.0,8,5,1
28,7.75,7.75,7.5,7.75,7.5,7.42,10.0,10.0,10.0,9.7,0,0.0,9,2,1
28,7.67,7.67,7.5,7.58,7.58,7.5,10.0,10.0,10.0,11.8,0,0.0,4,0,1
16,7.67,7.75,7.33,7.67,7.58,7.5,10.0,10.0,10.0,11.8,0,0.0,7,7,1
11,7.67,7.67,7.5,7.58,7.58,7.5,10.0,10.0,10.0,10.6,0,2.0,8,7,1
11,7.75,7.58,7.58,7.58,7.58,7.5,10.0,10.0,10.0,9.6,0,0.0,8,2,1
3,8.0,7.67,7.42,7.58,7.58,7.42,10.0,10.0,10.0,13.1,0,0.0,5,1,1
28,7.5,7.67,7.58,7.58,7.5,7.5,10.0,10.0,10.0,8.9,0,0.0,4,0,1
20,7.75,7.5,7.42,7.67,7.58,7.5,10.0,10.0,10.0,11.9,2,0.0,8,1,1
3,7.58,7.5,7.5,7.67,7.58,7.5,10.0,10.0,10.0,11.5,0,1.0,9,3,1
28,7.67,7.5,7.42,7.75,7.42,7.58,10.0,10.0,10.0,10.2,0,0.0,14,0,1
11,7.67,7.58,7.5,7.5,7.58,7.5,10.0,10.0,10.0,10.0,0,0.0,8,4,1
30,7.17,7.92,7.58,7.5,7.58,7.67,10.0,10.0,10.0,11.8,0,0.0,14,5,1
36,7.58,7.42,7.58,7.5,7.67,7.75,10.0,10.0,10.0,13.3,0,0.0,8,4,1
22,7.33,7.58,7.25,7.33,7.75,8.17,10.0,10.0,10.0,10.5,5,2.0,8,1,1
4,7.33,7.5,7.25,7.92,7.75,7.58,10.0,10.0,10.0,11.8,0,0.0,10,1,1
3,7.58,7.67,7.58,7.5,7.33,7.5,10.0,10.0,10.0,11.8,0,1.0,8,2,1
30,7.33,7.58,7.58,7.5,7.67,7.67,10.0,10.0,10.0,13.0,1,0.0,9,0,1
30,7.5,7.58,7.5,7.42,7.5,7.58,10.0,10.0,10.0,11.2,0,0.0,12,0,1
11,7.67,7.58,7.33,7.5,7.58,7.5,10.0,10.0,10.0,9.6,0,0.0,8,2,1
28,7.67,7.67,7.42,7.42,7.42,7.5,10.0,10.0,10.0,9.8,0,0.0,8,0,1
28,7.67,7.58,7.42,7.42,7.5,7.5,10.0,10.0,10.0,8.4,0,0.0,4,2,1
22,7.5,7.58,7.42,7.58,7.5,7.58,10.0,10.0,10.0,10.1,0,0.0,8,0,1
7,7.67,7.33,7.17,7.67,7.83,7.5,10.0,10.0,10.0,11.3,0,0.0,8,2,1
23,7.75,7.67,7.17,7.67,7.42,7.42,10.0,10.0,10.0,10.0,0,0.0,8,0,1
0,7.5,7.58,7.5,7.5,7.67,7.42,10.0,10.0,10.0,11.8,0,1.0,5,1,1
33,7.33,7.58,7.5,7.5,7.5,7.58,10.0,10.0,10.0,11.7,0,0.0,4,1,1
20,7.67,7.42,7.5,7.5,7.67,7.42,10.0,10.0,10.0,10.7,0,0.0,10,0,1
11,7.58,7.58,7.33,7.5,7.58,7.42,10.0,10.0,10.0,10.6,0,0.0,8,8,1
28,7.42,7.42,7.58,7.42,7.58,7.5,10.0,10.0,10.0,8.4,0,0.0,8,2,1
22,7.58,7.58,7.42,7.42,7.5,7.5,10.0,10.0,10.0,11.4,0,0.0,5,0,0
36,7.5,7.5,7.33,7.5,7.5,7.42,10.0,10.0,10.0,10.5,0,0.0,5,0,0
7,7.5,7.5,7.42,7.42,7.42,7.67,10.0,10.0,10.0,12.0,0,7.0,8,10,0
7,7.33,7.67,7.25,7.67,7.83,7.42,10.0,10.0,10.0,11.8,0,0.0,5,0,0
28,7.67,7.58,7.42,7.5,7.33,7.42,10.0,10.0,10.0,10.8,0,0.0,8,1,0
25,7.67,7.5,7.33,7.58,7.33,7.42,10.0,10.0,10.0,11.7,0,1.0,9,3,0
33,7.75,7.42,7.33,7.5,7.33,7.5,10.0,10.0,10.0,10.6,1,0.0,8,5,0
15,7.5,7.5,7.42,7.5,7.25,7.5,10.0,10.0,10.0,11.2,0,0.0,8,2,0
11,7.67,7.5,7.25,7.5,7.5,7.33,10.0,10.0,10.0,10.6,0,0.0,8,8,0
28,7.5,7.67,7.33,7.5,7.25,7.33,10.0,10.0,10.0,9.7,0,0.0,5,0,0
28,7.33,7.42,7.42,7.5,7.42,7.5,10.0,10.0,10.0,8.1,0,0.0,9,3,0
28,7.5,7.58,7.42,7.42,7.25,7.42,10.0,10.0,10.0,8.2,0,0.0,8,1,0
30,7.17,7.5,7.42,7.42,7.58,7.5,10.0,10.0,10.0,9.8,0,0.0,8,0,0
4,7.42,7.42,7.42,7.33,7.58,7.33,10.0,10.0,10.0,10.5,1,2.0,8,8,0
9,7.42,7.42,7.42,7.33,7.5,7.42,10.0,10.0,10.0,11.5,0,1.0,4,2,0
13,7.67,7.33,7.25,7.67,7.42,7.25,10.0,10.0,10.0,12.5,0,0.0,5,0,0
25,7.5,7.5,7.33,7.5,7.33,7.33,10.0,10.0,10.0,11.6,0,2.0,9,2,0
9,7.33,7.42,7.33,7.42,7.58,7.42,10.0,10.0,10.0,10.3,0,0.0,9,1,0
28,7.25,7.42,7.42,7.5,7.42,7.42,10.0,10.0,10.0,11.3,0,0.0,8,0,0
36,7.5,7.5,7.25,7.42,7.42,7.42,10.0,10.0,10.0,11.2,0,0.0,8,4,0
0,7.5,7.5,7.42,7.33,7.33,7.33,10.0,10.0,10.0,11.3,0,0.0,10,2,0
0,7.42,7.5,7.58,7.33,7.33,7.25,10.0,10.0,10.0,11.1,0,0.0,14,0,0
3,7.33,7.5,7.33,7.42,7.42,7.42,10.0,10.0,10.0,11.2,0,0.0,14,0,0
20,7.58,7.42,7.25,7.25,7.5,7.33,10.0,10.0,10.0,11.8,2,0.0,8,2,0
4,7.33,7.42,7.25,7.42,7.42,7.33,10.0,10.0,10.0,9.7,0,2.0,8,4,0
28,7.42,7.5,7.33,7.33,7.33,7.33,10.0,10.0,10.0,9.0,0,0.0,14,0,0
28,7.33,7.5,7.42,7.33,7.33,7.25,10.0,10.0,10.0,8.5,0,0.0,8,0,0
30,7.33,7.42,7.25,7.33,7.5,7.42,10.0,10.0,10.0,11.6,2,0.0,8,1,0
30,7.42,7.25,7.33,7.42,7.33,7.33,10.0,10.0,10.0,10.5,0,0.0,15,5,0
30,7.25,7.25,7.42,7.25,7.42,7.42,10.0,10.0,10.0,10.4,0,0.0,8,0,0
3,7.42,7.25,7.25,7.42,7.17,7.33,10.0,10.0,10.0,11.4,0,2.0,9,2,0
0,7.42,7.42,7.25,7.25,7.17,7.25,10.0,10.0,10.0,10.6,0,2.0,9,1,0
7,7.42,7.33,7.33,7.5,7.08,7.0,10.0,10.0,10.0,10.5,0,8.0,5,7,0
22,7.25,7.25,7.17,7.33,7.08,7.25,10.0,10.0,10.0,11.5,0,1.0,9,3,0
22,7.42,7.17,7.0,7.08,7.42,7.17,10.0,10.0,10.0,11.2,0,0.0,8,5,0
3,7.25,7.25,7.17,7.33,7.0,7.17,10.0,10.0,10.0,11.0,0,3.0,9,3,0
25,7.5,7.25,7.17,7.17,7.17,7.08,10.0,10.0,10.0,11.8,0,6.0,9,11,0
7,7.08,7.25,7.08,7.42,7.42,7.08,10.0,10.0,10.0,11.5,0,10.0,5,7,0
0,7.25,7.17,7.17,7.08,7.17,7.17,10.0,10.0,10.0,11.6,0,1.0,9,2,0
0,7.17,7.17,6.92,7.17,7.42,7.17,10.0,10.0,10.0,11.4,0,0.0,8,4,0
22,7.33,7.08,6.75,7.17,7.42,7.17,10.0,10.0,10.0,10.4,0,2.0,8,12,0
16,7.25,7.17,7.08,7.0,7.08,7.08,10.0,10.0,10.0,11.6,0,9.0,8,11,0
7,6.5,6.75,6.75,7.17,7.08,7.0,10.0,10.0,10.0,11.0,0,12.0,5,13,0
0,7.25,7.08,6.67,6.83,6.83,6.67,10.0,10.0,10.0,11.3,0,0.0,8,1,0
8,8.67,8.83,8.67,8.75,8.5,8.42,10.0,10.0,10.0,0.12,0,0.0,2,0,1
8,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,0.12,0,0.0,2,1,1
9,8.42,8.5,8.42,8.42,8.33,8.42,10.0,10.0,10.0,0.0,0,0.0,3,0,1
8,8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,10.0,0.11,0,0.0,2,2,1
8,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,0.12,0,0.0,2,2,1
